uid,Page_view,Like_count,Number_of_authors_viewed,Number_of_viewed_works,Average_duration_of_viewing_works,Number_of_background_music_views,Complete_views,Number_of_cities_visited,Number_of_citzes_viewing_works,City_where_the_user_is_located
54,156,1,150,156,10.692307692307692,125,35,1,84,25.0
55,11,0,11,11,12.909090909090908,11,3,2,11,63.0
56,34,0,34,34,11.147058823529411,34,18,1,32,279.0
57,54,0,47,54,11.24074074074074,52,14,1,33,214.0
58,3,0,3,3,13.666666666666666,3,3,1,3,138.0
59,226,0,211,226,11.261061946902656,189,108,1,106,106.0
60,36,0,36,36,9.944444444444445,35,13,1,29,99.0
61,22,0,21,22,11.090909090909092,22,8,1,18,233.0
62,62,0,62,62,11.46774193548387,58,12,1,47,159.0
63,42,0,41,42,12.452380952380953,39,22,1,35,172.0
64,194,0,181,194,11.195876288659793,170,59,1,100,45.0
65,187,0,184,187,11.663101604278076,120,93,1,117,143.0
66,159,0,158,159,11.28930817610063,122,87,1,106,9.0
67,53,0,45,53,10.716981132075471,40,33,1,19,178.0
68,120,0,118,120,11.366666666666667,106,31,1,79,5.0
69,107,0,94,107,10.80373831775701,93,19,1,71,249.0
70,27,0,27,27,11.074074074074074,26,9,1,24,185.0
71,70,0,66,70,10.642857142857142,62,7,1,48,59.0
72,210,0,189,210,10.91904761904762,175,135,1,100,51.0
73,8,0,8,8,11.0,7,3,1,8,81.0
74,21,0,21,21,13.19047619047619,19,12,1,19,210.0
75,18,0,18,18,10.944444444444445,17,1,1,17,260.0
76,1,0,1,1,35.0,1,1,1,1,325.0
77,30,0,30,30,9.866666666666667,28,6,1,28,116.0
78,134,0,132,134,10.619402985074627,107,23,1,89,182.0
79,38,4,38,38,9.81578947368421,38,15,2,35,93.0
80,614,1,573,614,11.003257328990228,442,71,1,178,77.0
81,15,0,15,15,12.2,15,7,2,14,97.0
82,73,0,71,73,12.095890410958905,65,34,1,55,113.0
83,30,0,29,30,10.433333333333334,26,20,1,26,24.0
84,118,1,107,118,10.957627118644067,92,27,1,67,115.0
85,7,0,7,7,10.142857142857142,7,4,1,7,272.0
86,15,0,15,15,14.066666666666666,15,9,1,15,117.0
87,44,0,39,44,10.795454545454545,40,31,1,26,74.0
88,30,0,30,30,12.7,29,8,1,25,140.0
89,171,0,149,171,10.91812865497076,135,78,1,76,94.0
90,20,0,20,20,12.75,20,6,1,19,51.0
91,59,0,58,59,10.372881355932204,52,23,1,38,146.0
92,190,3,183,190,11.410526315789474,169,40,1,81,97.0
93,153,1,150,153,11.013071895424837,125,61,1,96,122.0
94,23,0,23,23,11.043478260869565,21,15,1,20,71.0
95,46,34,45,46,11.891304347826088,42,30,1,34,175.0
96,27,0,27,27,8.814814814814815,27,12,1,25,71.0
97,22,2,22,22,14.772727272727273,20,12,1,21,13.0
98,145,2,140,145,11.379310344827585,130,56,3,81,155.0
99,171,0,169,171,10.994152046783626,137,88,1,102,342.0
100,2,0,2,2,9.5,2,0,1,2,35.0
101,18,0,18,18,10.722222222222221,16,12,1,15,244.0
102,559,0,543,559,11.273703041144902,422,54,1,173,169.0
103,51,0,50,51,10.03921568627451,39,39,2,40,299.0
104,5,0,5,5,11.0,5,2,3,5,57.0
105,166,0,163,166,11.620481927710843,136,45,2,97,59.0
106,34,0,34,34,11.147058823529411,32,8,1,29,235.0
107,7,0,7,7,13.0,7,5,1,7,248.0
108,72,3,70,72,9.583333333333334,62,23,1,58,118.0
109,117,0,112,117,12.521367521367521,110,40,1,74,182.0
110,315,0,296,315,11.34920634920635,235,18,1,116,271.0
111,34,0,34,34,11.029411764705882,32,3,1,29,68.0
112,38,0,38,38,11.210526315789474,36,7,2,35,116.0
113,27,1,26,27,10.444444444444445,27,11,1,19,12.0
114,78,20,77,78,11.038461538461538,61,12,1,58,248.0
115,24,0,24,24,8.625,23,9,2,21,189.0
116,71,0,69,71,10.169014084507042,60,28,1,47,210.0
117,8,0,8,8,9.25,7,8,2,8,19.0
118,102,1,100,102,10.852941176470589,84,46,1,62,52.0
119,108,0,105,108,10.222222222222221,95,56,1,73,134.0
120,131,0,128,131,10.022900763358779,102,21,4,82,80.0
121,34,0,34,34,10.676470588235293,31,13,3,28,293.0
122,94,0,93,94,9.882978723404255,84,30,1,65,145.0
123,3,0,3,3,12.333333333333334,3,2,1,3,28.0
124,38,0,37,38,13.842105263157896,37,9,3,36,36.0
125,578,1,554,578,10.688581314878892,352,284,1,205,119.0
126,138,0,123,138,9.869565217391305,119,37,1,77,34.0
127,128,0,122,128,11.5546875,119,41,1,66,123.0
128,110,0,103,110,10.781818181818181,90,33,1,66,322.0
129,375,1,369,375,10.562666666666667,293,83,8,145,129.0
130,227,1,220,227,10.590308370044053,183,66,1,106,57.0
131,64,2,57,64,11.140625,64,7,1,47,129.0
132,106,0,103,106,11.70754716981132,97,55,1,73,152.0
133,53,0,53,53,12.358490566037736,45,17,1,45,106.0
134,217,0,211,217,11.84331797235023,186,54,2,126,203.0
135,7,0,7,7,9.857142857142858,7,4,1,7,129.0
136,12,0,12,12,12.5,12,6,1,11,49.0
137,33,0,33,33,11.06060606060606,30,17,1,31,167.0
138,147,0,140,147,10.217687074829932,132,89,1,79,176.0
139,15,0,15,15,12.2,15,9,1,14,91.0
140,28,0,28,28,10.142857142857142,28,15,1,28,76.0
141,14,0,14,14,11.642857142857142,14,7,1,12,93.0
142,115,0,115,115,11.060869565217391,85,32,1,81,0.0
143,103,0,103,103,11.864077669902912,91,16,1,69,228.0
144,33,0,32,33,10.303030303030303,31,11,1,20,71.0
145,68,46,68,68,12.014705882352942,60,8,1,52,153.0
146,251,0,239,251,10.450199203187251,225,43,1,115,169.0
147,149,0,141,149,11.442953020134228,137,16,6,89,99.0
148,90,0,86,90,11.733333333333333,71,23,1,67,22.0
149,69,0,69,69,12.55072463768116,52,39,1,57,122.0
150,38,2,38,38,10.973684210526315,35,12,1,24,167.0
151,22,0,22,22,9.090909090909092,22,15,1,19,150.0
152,17,0,17,17,13.882352941176471,16,7,1,14,112.0
153,2,0,2,2,9.5,2,1,1,2,57.0
154,24,0,24,24,11.708333333333334,21,12,1,19,20.0
155,384,0,360,384,11.434895833333334,268,110,1,144,129.0
156,35,0,35,35,9.971428571428572,30,1,1,33,272.0
157,42,0,42,42,12.452380952380953,40,19,1,37,180.0
158,11,0,11,11,10.181818181818182,10,7,1,11,276.0
159,23,0,23,23,11.0,23,15,1,21,189.0
160,197,0,186,197,10.532994923857869,166,30,1,108,220.0
162,82,0,82,82,10.451219512195122,73,45,1,65,248.0
163,64,0,61,64,11.328125,53,40,1,49,275.0
164,34,0,34,34,10.882352941176471,34,6,1,29,62.0
165,375,4,322,375,10.704,294,135,1,122,91.0
166,13,0,13,13,11.461538461538462,13,7,1,12,118.0
167,37,0,36,37,10.91891891891892,34,21,1,29,271.0
168,45,10,45,45,11.755555555555556,42,24,1,36,60.0
169,120,0,119,120,11.316666666666666,107,25,1,82,121.0
170,111,0,108,111,10.73873873873874,88,22,3,79,109.0
171,40,0,40,40,10.05,37,24,2,36,168.0
172,11,0,11,11,9.090909090909092,11,8,1,10,123.0
173,120,0,120,120,12.6,99,43,2,82,169.0
174,13,0,13,13,9.923076923076923,13,8,1,12,123.0
175,21,0,20,21,10.047619047619047,18,9,1,17,57.0
176,121,0,116,121,11.090909090909092,98,4,2,83,120.0
177,170,0,166,170,10.511764705882353,137,92,1,106,270.0
178,47,4,39,47,10.02127659574468,41,36,1,22,18.0
179,147,0,143,147,11.068027210884354,130,42,1,80,89.0
180,24,3,24,24,9.75,23,12,2,22,36.0
181,19,0,19,19,10.68421052631579,19,11,1,17,71.0
182,58,0,58,58,11.482758620689655,43,22,2,34,150.0
183,181,0,176,181,12.370165745856353,136,76,2,77,13.0
184,48,0,48,48,10.916666666666666,44,21,1,32,125.0
185,39,0,39,39,11.538461538461538,35,12,1,35,68.0
186,20,0,20,20,12.6,19,4,1,16,6.0
187,85,0,82,85,11.75294117647059,72,16,1,66,242.0
188,161,0,152,161,10.832298136645962,134,70,2,89,249.0
189,77,0,71,77,11.584415584415584,63,17,1,46,46.0
190,141,0,139,141,10.879432624113475,121,77,1,93,195.0
191,42,1,42,42,9.642857142857142,41,20,1,27,206.0
192,83,0,81,83,12.228915662650602,77,39,3,62,17.0
193,56,0,56,56,11.178571428571429,51,27,1,34,155.0
195,45,0,45,45,10.422222222222222,43,23,1,39,138.0
196,261,1,256,261,11.363984674329503,194,64,1,124,299.0
197,22,1,21,22,12.590909090909092,17,4,1,18,150.0
198,57,0,56,57,9.68421052631579,53,34,1,38,56.0
199,14,0,14,14,13.428571428571429,13,9,2,14,160.0
200,219,0,198,219,10.63013698630137,161,30,4,106,109.0
201,73,0,72,73,11.36986301369863,62,28,1,55,214.0
202,29,0,25,29,11.379310344827585,23,12,2,18,14.0
203,3,0,3,3,11.666666666666666,3,0,1,3,192.0
204,16,0,15,16,11.5625,16,11,1,14,109.0
205,44,1,41,44,10.068181818181818,43,12,1,29,163.0
206,53,3,51,53,10.735849056603774,48,21,1,42,57.0
207,127,0,124,127,11.645669291338583,109,18,1,84,39.0
208,85,0,83,85,10.458823529411765,65,9,1,68,86.0
209,129,0,123,129,11.108527131782946,110,42,1,71,21.0
210,51,0,48,51,11.607843137254902,43,30,1,40,293.0
211,28,0,28,28,11.357142857142858,25,21,1,26,3.0
212,40,0,40,40,9.8,40,6,1,30,188.0
213,2,0,2,2,9.5,2,1,1,2,3.0
214,27,0,27,27,11.296296296296296,23,17,1,23,25.0
215,58,0,58,58,11.53448275862069,51,26,1,47,223.0
216,84,0,80,84,11.642857142857142,71,6,2,60,6.0
217,15,0,15,15,9.0,15,8,1,12,59.0
218,106,0,98,106,11.179245283018869,91,38,1,59,8.0
219,44,0,40,44,9.704545454545455,43,22,1,32,104.0
220,195,3,188,195,10.953846153846154,177,80,1,59,35.0
221,148,1,140,148,10.824324324324325,126,29,1,88,16.0
222,65,0,59,65,11.23076923076923,60,23,1,50,109.0
223,4,0,4,4,17.0,4,2,1,4,68.0
224,17,0,15,17,10.235294117647058,17,5,3,15,37.0
225,777,0,728,777,10.675675675675675,547,53,2,172,46.0
226,13,0,13,13,8.384615384615385,12,1,1,12,14.0
228,79,0,79,79,10.936708860759493,73,38,3,64,178.0
229,20,0,20,20,14.0,20,17,1,17,73.0
230,28,0,27,28,11.464285714285714,28,21,1,22,11.0
231,71,0,71,71,11.52112676056338,59,27,1,50,54.0
232,43,0,40,43,12.395348837209303,40,21,1,29,8.0
233,28,0,28,28,11.857142857142858,26,19,2,27,114.0
234,58,0,56,58,11.120689655172415,56,23,1,48,116.0
235,193,0,191,193,10.652849740932643,131,67,1,96,21.0
236,34,0,34,34,11.294117647058824,31,22,1,28,203.0
237,51,0,51,51,11.137254901960784,37,15,2,42,73.0
238,64,0,64,64,11.515625,57,38,1,53,111.0
239,353,0,330,353,11.158640226628895,284,90,1,144,66.0
240,235,0,222,235,10.327659574468084,199,78,1,105,106.0
241,11,0,11,11,10.909090909090908,11,7,1,11,206.0
242,160,1,154,160,11.425,147,104,1,77,89.0
243,162,1,159,162,11.216049382716049,131,60,1,86,221.0
244,98,0,97,98,11.459183673469388,79,46,1,74,156.0
245,127,2,123,127,10.472440944881889,109,39,1,69,144.0
246,77,0,76,77,12.402597402597403,64,12,1,61,109.0
247,100,0,99,100,12.17,82,24,1,72,347.0
248,15,0,15,15,9.933333333333334,15,9,2,14,29.0
249,153,0,150,153,10.718954248366012,127,79,1,82,12.0
250,96,0,87,96,13.59375,82,58,2,71,242.0
251,82,0,77,82,10.146341463414634,69,17,1,58,123.0
252,16,0,15,16,12.375,15,14,1,13,105.0
253,33,1,33,33,10.636363636363637,31,13,1,26,129.0
254,73,0,72,73,12.424657534246576,55,29,1,58,167.0
255,133,0,133,133,11.864661654135338,115,64,1,84,27.0
256,90,0,87,90,11.577777777777778,82,43,1,57,13.0
257,8,0,8,8,14.625,8,2,1,8,271.0
258,85,0,79,85,10.729411764705882,72,29,2,51,26.0
259,53,0,52,53,11.566037735849056,51,14,1,39,61.0
260,6,0,5,6,10.333333333333334,6,5,1,4,59.0
261,226,0,216,226,11.353982300884956,174,52,1,90,8.0
262,8,0,8,8,8.375,8,1,1,2,187.0
263,4,0,4,4,8.25,4,4,1,4,21.0
264,42,5,41,42,11.214285714285714,39,19,2,37,189.0
265,42,0,41,42,10.571428571428571,38,28,1,35,61.0
266,16,0,16,16,10.9375,16,4,3,16,258.0
267,21,0,21,21,10.285714285714286,18,11,1,18,134.0
268,54,2,52,54,9.981481481481481,48,34,1,46,26.0
269,42,0,39,42,10.476190476190476,39,24,1,37,284.0
270,91,0,91,91,10.505494505494505,77,46,1,59,61.0
271,63,0,63,63,9.793650793650794,53,23,1,45,51.0
272,19,0,19,19,10.631578947368421,18,13,1,16,31.0
273,42,0,39,42,12.80952380952381,37,19,1,31,286.0
274,686,0,543,686,10.903790087463557,405,104,2,173,81.0
275,238,0,234,238,11.77310924369748,186,65,1,112,45.0
276,152,0,144,152,11.539473684210526,139,23,1,75,271.0
277,35,0,33,35,9.971428571428572,32,1,1,23,206.0
278,45,0,44,45,9.777777777777779,42,17,1,36,185.0
279,26,0,26,26,10.076923076923077,24,5,1,24,19.0
280,107,0,104,107,10.485981308411215,101,66,1,61,59.0
281,77,1,75,77,13.35064935064935,71,37,1,61,243.0
282,12,0,12,12,9.583333333333334,12,7,1,11,273.0
283,111,1,107,111,10.783783783783784,96,32,1,65,6.0
284,212,0,206,212,11.471698113207546,147,120,4,119,137.0
285,25,0,25,25,14.72,25,7,1,24,26.0
286,185,0,175,185,11.356756756756758,169,77,1,95,45.0
287,31,0,31,31,10.483870967741936,28,14,2,26,29.0
288,37,0,34,37,11.216216216216216,33,13,1,25,66.0
289,40,0,40,40,11.4,36,20,1,36,99.0
290,46,0,46,46,11.73913043478261,40,25,1,38,81.0
291,57,0,56,57,12.789473684210526,54,40,1,50,27.0
292,13,0,13,13,8.23076923076923,13,3,1,12,54.0
293,196,0,195,196,10.35204081632653,153,99,1,106,123.0
294,66,10,65,66,11.303030303030303,59,46,2,51,48.0
295,319,1,316,319,10.761755485893417,215,62,1,113,19.0
296,6,0,6,6,9.166666666666666,6,0,1,6,160.0
297,67,1,66,67,10.059701492537313,59,34,1,47,8.0
298,188,0,186,188,11.388297872340425,170,80,1,108,90.0
299,35,0,35,35,11.82857142857143,31,19,1,32,238.0
300,19,0,18,19,12.052631578947368,19,7,1,14,68.0
301,125,1,124,125,10.4,100,12,1,74,56.0
302,45,0,45,45,10.066666666666666,45,22,1,39,337.0
303,6,0,6,6,9.333333333333334,6,3,1,6,122.0
304,12,0,12,12,10.083333333333334,12,4,1,10,105.0
305,107,0,100,107,11.906542056074766,96,12,1,79,191.0
306,19,0,18,19,12.263157894736842,17,5,1,15,144.0
307,24,0,24,24,11.208333333333334,23,14,1,22,5.0
308,9,0,9,9,9.0,9,6,1,8,8.0
309,90,0,85,90,11.544444444444444,71,14,2,58,125.0
310,3,0,3,3,8.666666666666666,3,2,1,3,157.0
311,113,0,112,113,10.91150442477876,93,38,1,79,11.0
312,28,0,28,28,12.5,26,14,1,23,42.0
313,76,0,75,76,11.210526315789474,72,12,1,65,195.0
314,65,0,65,65,12.553846153846154,53,34,1,54,97.0
315,9,0,9,9,10.222222222222221,8,5,1,6,31.0
316,22,0,22,22,10.272727272727273,22,11,1,22,143.0
317,63,0,62,63,10.555555555555555,54,19,1,45,159.0
318,42,0,39,42,10.666666666666666,40,6,1,33,100.0
319,69,0,68,69,11.507246376811594,66,20,1,63,284.0
320,35,1,35,35,13.914285714285715,29,21,1,32,121.0
321,28,0,28,28,12.607142857142858,27,23,1,25,175.0
322,78,0,78,78,12.025641025641026,62,48,2,64,76.0
323,127,0,125,127,11.440944881889763,113,50,1,76,228.0
324,44,1,44,44,10.795454545454545,39,21,1,41,220.0
325,21,0,21,21,14.047619047619047,19,14,1,20,189.0
326,92,0,86,92,10.608695652173912,85,48,1,58,45.0
327,21,0,21,21,8.285714285714286,21,3,1,20,31.0
328,48,0,47,48,12.645833333333334,45,21,1,39,32.0
329,1,0,1,1,10.0,1,0,1,1,127.0
330,17,0,17,17,12.941176470588236,14,10,2,16,140.0
331,175,0,164,175,11.348571428571429,145,41,1,96,64.0
332,107,0,100,107,10.607476635514018,90,45,1,58,171.0
333,103,0,88,103,10.660194174757281,91,46,1,54,57.0
334,84,0,80,84,12.75,74,33,1,65,221.0
335,19,0,19,19,15.105263157894736,19,13,1,19,307.0
336,35,1,35,35,10.342857142857143,29,23,1,31,45.0
337,192,0,182,192,10.692708333333334,154,18,1,104,70.0
338,26,0,26,26,11.576923076923077,26,11,1,23,18.0
339,168,0,158,168,11.285714285714286,156,43,1,86,297.0
340,39,0,35,39,10.102564102564102,37,34,1,32,89.0
341,74,1,72,74,12.0,66,40,1,63,15.0
342,81,1,79,81,11.555555555555555,68,17,1,34,159.0
343,114,0,113,114,10.824561403508772,100,30,1,74,228.0
344,39,1,38,39,11.871794871794872,37,19,1,32,158.0
345,108,3,104,108,9.601851851851851,100,67,1,51,176.0
346,31,0,31,31,12.161290322580646,30,11,1,28,337.0
347,224,0,223,224,11.410714285714286,182,50,4,104,175.0
348,52,0,49,52,11.576923076923077,41,21,1,33,25.0
349,30,0,30,30,11.966666666666667,29,12,2,27,297.0
350,175,0,172,175,10.971428571428572,159,71,1,107,14.0
351,43,0,43,43,10.44186046511628,39,15,1,38,54.0
352,15,0,15,15,12.466666666666667,15,6,3,14,109.0
353,3,0,3,3,8.0,3,3,1,3,134.0
354,458,0,439,458,10.991266375545852,310,223,1,170,116.0
355,3,0,3,3,6.666666666666667,3,3,1,3,44.0
356,26,0,26,26,16.73076923076923,26,14,1,25,266.0
357,4,0,4,4,9.5,4,3,1,4,56.0
358,55,0,53,55,9.672727272727272,50,46,1,40,271.0
359,30,0,30,30,10.1,28,10,1,27,203.0
360,59,3,58,59,10.966101694915254,58,17,1,46,116.0
361,27,0,27,27,11.296296296296296,26,16,1,24,134.0
362,24,0,22,24,12.041666666666666,22,5,1,20,78.0
363,59,2,57,59,9.983050847457626,53,31,1,43,128.0
364,322,0,310,322,10.819875776397515,233,103,1,135,171.0
365,163,0,160,163,10.220858895705522,122,52,4,107,118.0
366,50,0,49,50,10.48,48,19,7,36,189.0
367,35,0,34,35,12.2,32,25,1,32,18.0
368,8,0,8,8,9.25,8,4,1,8,14.0
369,56,0,54,56,10.071428571428571,50,27,1,40,144.0
370,182,0,176,182,15.032967032967033,123,59,2,97,99.0
372,90,0,90,90,10.077777777777778,75,29,2,67,86.0
373,224,0,217,224,11.245535714285714,179,16,1,124,177.0
374,10,0,10,10,12.2,10,5,1,9,99.0
375,28,1,28,28,12.821428571428571,23,17,1,23,21.0
376,21,0,21,21,12.0,20,10,1,14,122.0
377,27,0,27,27,13.777777777777779,24,15,1,22,57.0
378,5,0,5,5,9.6,5,2,1,2,135.0
379,113,16,106,113,9.79646017699115,101,30,1,63,155.0
380,40,4,27,40,11.175,39,17,2,20,259.0
381,24,0,24,24,9.708333333333334,22,16,1,22,375.0
382,114,0,111,114,10.771929824561404,92,28,1,75,171.0
383,21,0,21,21,9.857142857142858,20,7,1,20,224.0
384,460,0,452,460,11.171739130434782,307,101,1,193,70.0
385,148,0,147,148,10.756756756756756,118,34,2,92,123.0
386,82,0,79,82,10.634146341463415,73,10,1,60,324.0
387,48,8,48,48,11.875,47,30,1,38,5.0
388,73,0,71,73,10.273972602739725,67,30,1,48,118.0
389,58,0,58,58,12.568965517241379,54,28,1,47,60.0
390,32,0,31,32,11.8125,32,12,1,25,157.0
391,62,0,61,62,11.03225806451613,59,17,1,46,6.0
392,47,0,47,47,10.72340425531915,42,24,2,40,38.0
393,2,0,2,2,13.5,2,2,1,2,137.0
394,110,0,110,110,11.218181818181819,85,38,1,82,313.0
395,100,0,98,100,10.98,92,22,1,67,59.0
396,48,0,47,48,10.5625,45,26,1,35,178.0
397,6,0,6,6,13.5,5,3,2,5,73.0
398,74,0,72,74,10.837837837837839,69,40,1,59,129.0
399,10,0,10,10,9.0,10,3,1,9,102.0
400,246,1,243,246,10.979674796747968,188,60,1,119,61.0
401,26,0,26,26,11.76923076923077,22,9,1,22,284.0
402,20,0,19,20,10.15,18,13,1,17,143.0
403,562,0,492,562,10.777580071174377,380,149,1,157,57.0
404,58,0,57,58,10.844827586206897,50,28,4,46,32.0
405,26,4,25,26,10.576923076923077,24,14,1,23,22.0
406,38,1,38,38,10.710526315789474,38,28,1,32,123.0
407,187,0,177,187,11.67379679144385,169,51,1,92,217.0
408,65,0,64,65,10.553846153846154,58,37,1,50,68.0
409,7,0,7,7,8.571428571428571,7,1,1,7,140.0
410,67,0,64,67,10.417910447761194,57,21,1,45,169.0
411,105,0,104,105,10.847619047619048,84,22,1,71,134.0
412,6,0,6,6,10.333333333333334,6,3,1,6,109.0
413,184,0,183,184,11.0,150,59,3,75,150.0
414,375,1,342,375,10.845333333333333,289,33,1,121,249.0
415,9,0,9,9,15.333333333333334,9,5,1,8,143.0
416,55,0,55,55,10.454545454545455,48,17,1,45,186.0
417,70,0,70,70,9.657142857142857,66,12,1,53,340.0
418,86,0,86,86,11.244186046511627,65,26,2,59,154.0
419,221,11,204,221,10.592760180995475,183,77,1,106,73.0
420,20,0,20,20,12.7,18,8,1,17,2.0
421,18,0,18,18,13.833333333333334,18,17,1,18,15.0
422,35,0,35,35,12.914285714285715,34,15,1,27,200.0
423,33,0,33,33,12.181818181818182,32,18,1,27,14.0
424,41,0,41,41,11.195121951219512,39,13,1,35,60.0
425,24,0,24,24,10.791666666666666,19,14,1,23,151.0
426,49,0,48,49,10.673469387755102,47,15,2,42,129.0
427,11,0,11,11,10.454545454545455,11,5,1,10,108.0
428,4,0,4,4,14.25,4,2,1,3,125.0
429,32,0,32,32,10.0625,29,23,1,26,70.0
430,23,0,23,23,12.08695652173913,21,10,1,21,90.0
431,36,0,36,36,10.666666666666666,29,8,1,28,136.0
432,134,0,117,134,10.843283582089553,106,46,1,65,289.0
433,24,0,23,24,16.125,23,8,1,18,154.0
434,35,1,35,35,10.885714285714286,32,22,1,31,21.0
435,256,0,250,256,10.85546875,164,79,1,129,259.0
436,12,0,11,12,10.5,12,6,1,11,56.0
437,58,0,58,58,12.413793103448276,45,30,2,48,31.0
438,114,0,110,114,10.271929824561404,103,25,1,78,233.0
439,61,0,59,61,11.245901639344263,55,34,1,48,25.0
440,76,0,72,76,11.736842105263158,65,12,1,52,46.0
441,19,0,19,19,15.473684210526315,18,10,1,17,42.0
442,191,0,161,191,10.602094240837696,169,11,1,95,72.0
443,31,0,31,31,10.129032258064516,31,17,5,30,53.0
444,27,0,27,27,11.962962962962964,25,6,1,24,99.0
445,29,0,28,29,10.586206896551724,29,14,1,20,8.0
446,174,2,173,174,11.60919540229885,134,75,1,110,167.0
447,35,0,35,35,9.942857142857143,32,0,1,34,262.0
448,7,0,7,7,12.571428571428571,7,4,1,7,127.0
449,79,0,74,79,10.784810126582279,70,19,1,61,73.0
450,7,0,7,7,8.142857142857142,7,2,1,6,35.0
451,29,0,29,29,12.137931034482758,25,12,1,28,116.0
452,211,0,210,211,10.800947867298579,147,115,1,110,180.0
453,66,0,62,66,11.757575757575758,60,27,1,45,69.0
454,179,0,160,179,10.581005586592179,154,61,2,107,103.0
455,524,0,473,524,12.784351145038167,337,225,1,175,127.0
456,107,0,89,107,10.906542056074766,93,26,1,53,275.0
457,13,0,13,13,10.23076923076923,13,7,1,13,121.0
458,76,1,75,76,10.539473684210526,63,33,1,55,6.0
459,17,0,16,17,12.529411764705882,16,5,1,14,240.0
460,88,0,81,88,10.875,73,19,3,42,45.0
461,20,1,18,20,11.6,20,9,1,17,195.0
462,73,0,72,73,11.013698630136986,64,30,1,53,92.0
463,61,0,60,61,11.39344262295082,52,27,1,48,158.0
464,14,0,14,14,14.785714285714286,13,10,1,12,31.0
465,135,0,131,135,10.607407407407408,106,24,1,73,115.0
466,187,1,176,187,10.6524064171123,156,47,1,89,168.0
467,150,0,144,150,10.466666666666667,107,56,1,87,69.0
468,58,2,57,58,12.051724137931034,51,22,1,33,143.0
469,169,1,165,169,11.011834319526628,147,60,1,96,89.0
470,14,0,14,14,9.285714285714286,14,4,1,12,8.0
471,165,0,158,165,11.703030303030303,133,47,1,97,84.0
472,139,0,136,139,11.115107913669064,102,18,1,95,73.0
